Model,Fold,F1 Score,K Words,Top 20 Words
Random Forest,1,0.9408,11,"http, escapenumber escapenumber, subject, thanks, org, wrote, let know, com, list, attached, pm, price, question, product, escapelong, sent, issue, money, escapenumber, meeting"
Random Forest,2,0.9298,13,"subject, escapenumber escapenumber, thanks, http, wrote, original message, escapenumber, pm, org, list, question, com, escapelong, sent, gas, let know, attached, quality, meeting, issue"
Random Forest,3,0.9221,14,"escapenumber escapenumber, org, http, thanks, subject, wrote, escapenumber, let know, com, gas, original message, pm, list, question, price, sent, attached, offer, meeting, escapelong"
Random Forest,4,0.9226,13,"subject, thanks, escapenumber escapenumber, http, wrote, org, attached, let know, pm, question, com, sent, money, gas, quality, escapelong, original, escapenumber, original message, comment"
Random Forest,5,0.9381,13,"escapenumber escapenumber, http, org, subject, thanks, wrote, escapenumber, original message, issue, attached, let know, life, pm, list, escapelong, com, question, price, sent, gas"
Random Forest,6,0.9374,15,"escapenumber escapenumber, http, subject, thanks, wrote, escapenumber, org, escapelong, sent, list, original message, com, let know, pm, price, attached, product, wednesday, original, meeting"
Random Forest,7,0.935,13,"escapenumber escapenumber, subject, http, thanks, org, original message, wrote, attached, pm, question, escapelong, let know, escapenumber, sent, price, perl, money, gas, com, original"
Random Forest,8,0.9325,15,"escapenumber escapenumber, http, subject, wrote, attached, org, thanks, pm, original, original message, escapenumber pm, escapenumber, let know, escapelong, list, question, sent, tuesday, life, thursday"
Random Forest,9,0.924,12,"subject, http, thanks, escapenumber escapenumber, attached, org, wrote, pm, original message, escapenumber, com, product, price, question, list, original, issue, money, escapelong, escapenumber pm"
Random Forest,10,0.9255,13,"http, escapenumber escapenumber, subject, wrote, thanks, org, pm, issue, attached, escapenumber, let know, com, question, sent, original message, meeting, escapenumber pm, escapelong, perl, comment"
Decision Tree,1,0.8939,7,"http, org, escapenumber escapenumber, thanks, subject, attached, gas, price, sent, original message, wrote, unsubscribe, let know, money, ca mailman, product, friday, click, meeting, university"
Decision Tree,2,0.8812,11,"http, org, escapenumber escapenumber, thanks, subject, sent, original message, wrote, price, issue, attached, let know, money, gas, university, meeting, unsubscribe, escapelong, ca mailman, http www"
Decision Tree,3,0.8806,15,"org, http, escapenumber escapenumber, gas, original message, thanks, sent, price, let know, wrote, subject, issue, money, unsubscribe, attached, click, list, monday, louise, http www"
Decision Tree,4,0.8805,14,"http, org, escapenumber escapenumber, wrote, thanks, attached, subject, sent, let know, price, original message, issue, money, gas, mailing list, monday, university, click, men, unsubscribe"
Decision Tree,5,0.8892,9,"org, http, escapenumber escapenumber, original message, subject, thanks, gas, wrote, issue, attached, price, let know, money, sent, unsubscribe, www, mailing list, louise, escapelong, world"
Decision Tree,6,0.8777,12,"http, org, subject, escapenumber escapenumber, thanks, wrote, original message, price, attached, let know, money, issue, anatrim, gas, phone, unsubscribe, escapelong, monday, click, http www"
Decision Tree,7,0.8854,9,"org, http, escapenumber escapenumber, thanks, sent, original message, attached, wrote, subject, gas, price, unsubscribe, mr, let know, men, ca mailman, escapelong, money, perl, mailing list"
Decision Tree,8,0.8705,12,"org, http, escapenumber escapenumber, attached, sent, subject, original message, wrote, thanks, let know, unsubscribe, gas, men, reserved, listinfo, meeting, price, mr, houston, friday"
Decision Tree,9,0.8746,11,"org, http, escapenumber escapenumber, thanks, attached, subject, sent, original message, price, unsubscribe, gas, life, money, http www, wrote, escapelong, click, let know, phone, question"
Decision Tree,10,0.8727,14,"http, org, escapenumber escapenumber, thanks, sent, attached, wrote, original message, subject, issue, let know, money, price, meeting, unsubscribe, gas, ca mailman, anatrim, click, http www"
Logistic Regression,1,0.9497,27,"http, thanks, sent, attached, subject, perl, escapenumber, http www, meeting, question, debian, samba, let know, wrote, eric, www, going, anatrim, price escapenumber, original message"
Logistic Regression,2,0.9497,27,"http, thanks, perl, attached, subject, wrote, escapenumber, http www, meeting, sent, debian, vince, site, let know, question, samba, www, org, language, louise"
Logistic Regression,3,0.9459,32,"http, attached, thanks, meeting, http www, perl, escapenumber, subject, sent, question, www, let know, info, wrote, capacity, product, site, xescapenumber, speakup, list"
Logistic Regression,4,0.9441,26,"http, attached, thanks, perl, http www, meeting, wrote, subject, www, escapenumber, let know, sent, samba, data, houston, company, product, message, site, report"
Logistic Regression,5,0.9587,38,"http, thanks, attached, subject, http www, escapenumber, let know, info, question, sent, original message, www, samba, meeting, company, price escapenumber, wrote, language, louise, need"
Logistic Regression,6,0.9548,31,"http, thanks, attached, subject, http www, debian, wrote, let know, perl, escapenumber, vince, sent, speakup, meeting, question, www, hk, original message, list, escapenumber pm"
Logistic Regression,7,0.9587,29,"http, attached, thanks, perl, escapenumber, let know, meeting, subject, http www, speakup, sent, question, samba, wrote, eric, prescription, click, need, www, list"
Logistic Regression,8,0.9526,27,"http, thanks, subject, hk, samba, http www, escapenumber, perl, sent, info, attached, wrote, meeting, www, let know, question, data, list, vince, php"
Logistic Regression,9,0.9517,30,"http, perl, thanks, subject, sent, http www, data, attached, wrote, escapenumber, houston, meeting, posting, hk, www, remove, php, going, let know, debian"
Logistic Regression,10,0.9435,28,"http, thanks, subject, wrote, sent, escapenumber, let know, perl, http www, meeting, attached, vince, question, data, company, need, debian, stat, www, php"
Naive Bayes,1,0.918,426,"deposit, democrat, addressed, agreed receive, charles, bin, animal, communication, rate, escapenumber pm, bus, example, carefully, winter, branch, greeting, day, angeles, cultural, administration"
Naive Bayes,2,0.9177,340,"easy, guarantee, march, fat, australia, accept, assuming, add, published, height, phone fax, cc, expressed, day, alive, computational, remove, cable, beer, cera com"
Naive Bayes,3,0.9061,416,"cable, function, live, send, block, yahoo com, mobile, business sport, spoken, dept, sign, accepted, length, managed, anna, provide commented, forum, enhanced, better, georgia escapenumber"
Naive Bayes,4,0.9112,460,"ability, conference, emission, century, gift, compare, universal, free escapenumber, reflect, critical, various, anxiety, iowa, description, accurate, begin, escapenumberst, activity, edt, announces"
Naive Bayes,5,0.9205,399,"locate, noted, ok, contained, popular, ii, connected, escapenumbers, charge, left, acquire, address escapenumber, advantage, bbc, additional command, adding, news, ac, agree, dallas"
Naive Bayes,6,0.9165,415,"trust, dealing, october, escapenumberpm escapenumber, approve, auto, bank, brad, cash, david, allow, august, solution, anti, escapenumberth, addition, short, face, email sent, pound"
Naive Bayes,7,0.9253,412,"cold, dasovich, gb, keeping, offer escapenumber, night, conversation, aol, data, southwest, skill, beginning, designated, gate, regional, escapenumberth, sent monday, chosen, nl, receive"
Naive Bayes,8,0.9175,365,"doctor, help bounce, feeling, cgi, different, christian, faith, custom, past, circle, adding, committer, anybody, creative, ceo, audio, el, frame, used, blair lynn"
Naive Bayes,9,0.9348,209,"girl, step, example, historical, chance, http www, buy, added, key, little, client, www escapelong, provided, short term, cc, closer, gmail, anna, equal, non"
Naive Bayes,10,0.9119,372,"country, special, dear sir, allow, development, stop, calendar, harder, coming, universal, fresh, god, relation, attention, assuming, ethz ch, include, installed, recommend, check"
Bi-LSTM,1,0.968,111,"bloomberg, cpuc, vince, karen, ag, lisa, var, hk, testing, amazing, ac, debian, sc, captain, warner, analyst, reproducible, hot, fyi, daren"
Bi-LSTM,2,0.9606,161,"br, equal, sm, head, xescapenumber, shoe, giant, sorry, cried, he, hottest, sleeping, warned, dinner, black, loan, perl, jeff, quote, promotional"
Bi-LSTM,3,0.9546,152,"grew, evidence, gescapenumber, transmission, broker, processed, satisfaction, formula, understanding, began, seller, stephanie, handling, bulletin, jeff, kim, ml, po, hou, java"
